track_id,album_id,track_name,track_duration_ms,track_spotify_url,track_preview_url,track_duration_display,original_track_name
0baVb7JOstPFRDi7pMFzJE,5rwuexO7oiRJKqzZrd1upQ,Let There Be More Light - 2011 Remaster,337213,https://open.spotify.com/track/0baVb7JOstPFRDi7pMFzJE,https://p.scdn.co/mp3-preview/267cee245762ad59c0b877db63fa77e1963b9732?cid=bdda3e704a834f918700d9e4e4b07e63,5:37,Let There Be More Light
0BcCqITaeAZOypzkASZy1D,3BLIfiiKINZt4MJ1uDK2wa,Beat of Your Drum - 2018 Remaster,306146,https://open.spotify.com/track/0BcCqITaeAZOypzkASZy1D,https://p.scdn.co/mp3-preview/92d9c4f73a7aaa974b20cd0d714710b3d4d3ba27?cid=bdda3e704a834f918700d9e4e4b07e63,5:6,Beat of Your Drum
0BCIAYgnjkZ8Qu6jLNEALY,3LlY8r7KsFaDNAQsd1IGot,Our Car Club (Mono),139120,https://open.spotify.com/track/0BCIAYgnjkZ8Qu6jLNEALY,,2:19,Our Car Club (Mono)
0bd7G4Da6F9FtVB8oh0To1,6KEVrQEdQexnQgwpHn1lDI,Black Fly,212466,https://open.spotify.com/track/0bd7G4Da6F9FtVB8oh0To1,https://p.scdn.co/mp3-preview/b0ad2e1ff36048c5374c6fd2b817a5845d5310da?cid=bdda3e704a834f918700d9e4e4b07e63,3:32,Black Fly
0bE5gJJno8d6jBLgqHmx7k,6gMv3MgFlieOM6Uz5GZBzy,Lightnin' Hopkins,201266,https://open.spotify.com/track/0bE5gJJno8d6jBLgqHmx7k,,3:21,Lightnin' Hopkins
0Bg100ruK1ZD7H96rNo6fR,4hJqOIahWodpSJU6uDgjvN,Telegraph Road,858133,https://open.spotify.com/track/0Bg100ruK1ZD7H96rNo6fR,,14:18,Telegraph Road
0bGiTPrxCIFs7lZS9knvRS,39Ti6Be9Ak2d6YbxlQo0Ba,Help! - 2023 Mix,139600,https://open.spotify.com/track/0bGiTPrxCIFs7lZS9knvRS,,2:19,Help!
0BGxSJtT95M3PeibojMHmZ,1jWKVgnHX8nwR551hQNx5K,Cabron,218373,https://open.spotify.com/track/0BGxSJtT95M3PeibojMHmZ,https://p.scdn.co/mp3-preview/c914ceb332607a03bf8a313ccdbfe2f28b4dcfeb?cid=bdda3e704a834f918700d9e4e4b07e63,3:38,Cabron
0bhI3m82sAax3LVDpuqaWu,6Pz06FAaeym0JSqVqIkN56,One World - Remastered 1996,217040,https://open.spotify.com/track/0bhI3m82sAax3LVDpuqaWu,,3:37,One World
0bj5fZzyzTDIwV8HF2m1tM,3LlY8r7KsFaDNAQsd1IGot,Ballad of Ole' Betsy (Mono),136933,https://open.spotify.com/track/0bj5fZzyzTDIwV8HF2m1tM,,2:16,Ballad of Ole' Betsy (Mono)
