date,track_id,track_popularity
2023-12-28,07R6piKyVzQlJzCk2Uhfk4,26
2023-12-28,07RBHkS1sL4VjxzngibICA,17
2023-12-28,07StosBN1KB05M57qRhb8S,30
2023-12-28,07W9HcJyjXPnKQSMbUcWZU,47
2023-12-28,07wALKvkSqR5JRhvAEGY9K,14
2023-12-28,07XaOyTS5hyaWiUK1Bc3bR,63
2023-12-28,085naaQTxQJ5T2Wxw67KgG,18
2023-12-28,089RkpH2nc3fejL2qZebHk,19
2023-12-28,08Al2vMprW1D9Os6JsCLRi,37
2023-12-28,08H31MHz5MU74dZr0XnTA3,24
2023-12-28,08l7M5UpRnffGl0FyuRiQZ,37
2023-12-28,08mG3Y1vljYA6bvDt4Wqkj,84
2023-12-28,08QGvTyesyJiodOHSH2QsW,43
2023-12-28,08rR0CdyUAzJy3053xCPPG,34
2023-12-28,091cM5j4zmmhP4goVaevM6,59
2023-12-28,093CTvCDhmw8yqqGxkZ706,21
2023-12-28,0960y7BLnbb9SUVo33vKNW,18
2023-12-28,09C7ULYG1WhWgngwkkvVxN,56
2023-12-28,09eg3FGzsZQbZk8qEXhJIA,39
2023-12-28,09ezgACZuwWZt6CtQSSLRG,51
2023-12-28,09HXSK6uNXKGQM0kfEnhOZ,28
2023-12-28,09JPSMRIoC3Hfk3ysBtwBx,33
2023-12-28,09Jyn0ixub5BmUAV6u2D3J,14
2023-12-28,09ndBsPIoziNp4NFf5mQYm,37
2023-12-28,09QA1MsQoXhPyqFyvRo5bQ,29
2023-12-28,09rXQjOX61UGL36z76q8OS,46
2023-12-28,09Ss8zBlAokGANrU6rOj7W,26
2023-12-28,09x9v1o51dbqi5H0u7UGfp,66
2023-12-28,0ad0GIajE9PbNmuevx4AjS,22
2023-12-28,0Ag6LNrSfJVKRhGzD7ArDq,66
2023-12-28,0aGE5thvxQ6IYCfuCBPX5S,9
2023-12-28,0AGhL0Hq7uTivGEDRGbn51,14
2023-12-28,0AgJGo7JNWYBeHqbdzCXC0,42
2023-12-28,0agPQBjnNWeroMPrMMDrRx,4
2023-12-28,0Ai4qcOIKgNiq3fvUyPbew,28
2023-12-28,0aipmEKEVMfYccmS4CQa6C,37
2023-12-28,0aMqNFBj9KtPTD3c3tByRT,56
2023-12-28,0AOHnKqkuCq3LaWCu8rOS1,10
2023-12-28,0AqjkVFqa1ujle4Lb1k9wR,59
2023-12-28,0aRpUTBgkl4AyTd2M95SsM,23
2023-12-28,0ASFClYzxt7m8rIxck1klx,33
2023-12-28,0auKlivXpm76wR63mMJ3pR,49
2023-12-28,0avUJa79fThre5P0hkSjSe,11
2023-12-28,0awU7v3pvuGyHAzONp4xb9,7
2023-12-28,0AxqR1VOJjWpjKMAUbZCMr,30
2023-12-28,0AyF6550WEPguz36x5b43J,11
2023-12-28,0b4nzqHtFuOkRpz82nNST9,36
2023-12-28,0B545eDyCppapUQ1ujrTmg,48
2023-12-28,0b6NTTgJgwxIkQmfWir5Mx,36
2023-12-28,0badTdtgXHJsKAGupbE55Q,47
2023-12-28,0baVb7JOstPFRDi7pMFzJE,38
2023-12-28,0BcCqITaeAZOypzkASZy1D,20
2023-12-28,0BCIAYgnjkZ8Qu6jLNEALY,9
