track_id,uri,track_href,analysis_url,duration_ms,time_signature,danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type
01YvpF3BGxZfxLhyj6UREm,spotify:track:01YvpF3BGxZfxLhyj6UREm,https://api.spotify.com/v1/tracks/01YvpF3BGxZfxLhyj6UREm,https://api.spotify.com/v1/audio-analysis/01YvpF3BGxZfxLhyj6UREm,193573,4,0.334,0.745,9,-4.894,1,0.0474,0.564,0.000364,0.369,0.837,135.317,audio_features
021JldNpXGATNSC69edcBT,spotify:track:021JldNpXGATNSC69edcBT,https://api.spotify.com/v1/tracks/021JldNpXGATNSC69edcBT,https://api.spotify.com/v1/audio-analysis/021JldNpXGATNSC69edcBT,499116,4,0.4,0.475,11,-11.462,0,0.0309,0.376,0.736,0.142,0.0754,141.35,audio_features
02BsTeJE4q5gWOTt58ur5U,spotify:track:02BsTeJE4q5gWOTt58ur5U,https://api.spotify.com/v1/tracks/02BsTeJE4q5gWOTt58ur5U,https://api.spotify.com/v1/audio-analysis/02BsTeJE4q5gWOTt58ur5U,295050,4,0.707,0.346,11,-12.397,0,0.0251,0.69,0.145,0.1,0.49,85.094,audio_features
02FcgoInOjsdFT8YdAUMwu,spotify:track:02FcgoInOjsdFT8YdAUMwu,https://api.spotify.com/v1/tracks/02FcgoInOjsdFT8YdAUMwu,https://api.spotify.com/v1/audio-analysis/02FcgoInOjsdFT8YdAUMwu,351693,4,0.488,0.754,2,-8.552,1,0.0378,0.00237,0.851,0.224,0.388,91.517,audio_features
02FvigqN15ekfiaR42pJHu,spotify:track:02FvigqN15ekfiaR42pJHu,https://api.spotify.com/v1/tracks/02FvigqN15ekfiaR42pJHu,https://api.spotify.com/v1/audio-analysis/02FvigqN15ekfiaR42pJHu,251453,4,0.534,0.925,1,-5.004,0,0.0392,0.108,0.0303,0.0634,0.88,200.75,audio_features
02iaUTolPveClyOVtzZMlr,spotify:track:02iaUTolPveClyOVtzZMlr,https://api.spotify.com/v1/tracks/02iaUTolPveClyOVtzZMlr,https://api.spotify.com/v1/audio-analysis/02iaUTolPveClyOVtzZMlr,142893,4,0.582,0.341,7,-11.263,1,0.0385,0.0196,9.8e-05,0.573,0.411,111.798,audio_features
02jrZxFA2nMEweoUc5UvX3,spotify:track:02jrZxFA2nMEweoUc5UvX3,https://api.spotify.com/v1/tracks/02jrZxFA2nMEweoUc5UvX3,https://api.spotify.com/v1/audio-analysis/02jrZxFA2nMEweoUc5UvX3,247133,4,0.778,0.669,7,-9.735,1,0.0367,0.0354,0.0132,0.0973,0.834,123.543,audio_features
02kwcpvcGQgjpp02Uu2DM5,spotify:track:02kwcpvcGQgjpp02Uu2DM5,https://api.spotify.com/v1/tracks/02kwcpvcGQgjpp02Uu2DM5,https://api.spotify.com/v1/audio-analysis/02kwcpvcGQgjpp02Uu2DM5,352693,4,0.533,0.533,11,-14.618,0,0.0985,0.322,0.203,0.09,0.707,102.496,audio_features
02LharEqotu4zj644j0923,spotify:track:02LharEqotu4zj644j0923,https://api.spotify.com/v1/tracks/02LharEqotu4zj644j0923,https://api.spotify.com/v1/audio-analysis/02LharEqotu4zj644j0923,337973,4,0.308,0.74,9,-8.832,0,0.0626,0.0561,0.000115,0.21,0.216,163.179,audio_features
02lvTeAFIIsOd0wVNoRkQ5,spotify:track:02lvTeAFIIsOd0wVNoRkQ5,https://api.spotify.com/v1/tracks/02lvTeAFIIsOd0wVNoRkQ5,https://api.spotify.com/v1/audio-analysis/02lvTeAFIIsOd0wVNoRkQ5,186853,4,0.863,0.381,9,-12.823,1,0.0528,0.261,0.000277,0.202,0.906,120.645,audio_features
02nrNXVRJchaYWS9mgxrM0,spotify:track:02nrNXVRJchaYWS9mgxrM0,https://api.spotify.com/v1/tracks/02nrNXVRJchaYWS9mgxrM0,https://api.spotify.com/v1/audio-analysis/02nrNXVRJchaYWS9mgxrM0,169040,4,0.656,0.239,3,-11.352,1,0.0335,0.414,1.19e-06,0.135,0.486,116.208,audio_features
02ppMPbg1OtEdHgoPqoqju,spotify:track:02ppMPbg1OtEdHgoPqoqju,https://api.spotify.com/v1/tracks/02ppMPbg1OtEdHgoPqoqju,https://api.spotify.com/v1/audio-analysis/02ppMPbg1OtEdHgoPqoqju,290213,4,0.523,0.656,4,-7.441,0,0.0262,0.511,0.16,0.0679,0.214,104.271,audio_features
02S5aAJ2K4jzsIe4jtPpSA,spotify:track:02S5aAJ2K4jzsIe4jtPpSA,https://api.spotify.com/v1/tracks/02S5aAJ2K4jzsIe4jtPpSA,https://api.spotify.com/v1/audio-analysis/02S5aAJ2K4jzsIe4jtPpSA,148600,4,0.425,0.658,9,-8.678,1,0.0368,0.134,6.14e-06,0.397,0.845,119.161,audio_features
02TZxs0IqbA9sMtwBbDEOL,spotify:track:02TZxs0IqbA9sMtwBbDEOL,https://api.spotify.com/v1/tracks/02TZxs0IqbA9sMtwBbDEOL,https://api.spotify.com/v1/audio-analysis/02TZxs0IqbA9sMtwBbDEOL,435147,4,0.493,0.55,4,-11.016,0,0.0297,0.619,0.0482,0.281,0.371,117.163,audio_features
02Y7UtZLh7SbhYsYG5N7Rr,spotify:track:02Y7UtZLh7SbhYsYG5N7Rr,https://api.spotify.com/v1/tracks/02Y7UtZLh7SbhYsYG5N7Rr,https://api.spotify.com/v1/audio-analysis/02Y7UtZLh7SbhYsYG5N7Rr,317560,4,0.428,0.636,0,-6.891,1,0.033,0.105,0.000923,0.0865,0.374,85.121,audio_features
0368QVv7esoqF1bKUTvbeR,spotify:track:0368QVv7esoqF1bKUTvbeR,https://api.spotify.com/v1/tracks/0368QVv7esoqF1bKUTvbeR,https://api.spotify.com/v1/audio-analysis/0368QVv7esoqF1bKUTvbeR,227187,4,0.623,0.709,7,-5.979,1,0.0346,4.92e-05,0.84,0.12,0.822,115.037,audio_features
03AILJKNtXyZmvZV06yIsW,spotify:track:03AILJKNtXyZmvZV06yIsW,https://api.spotify.com/v1/tracks/03AILJKNtXyZmvZV06yIsW,https://api.spotify.com/v1/audio-analysis/03AILJKNtXyZmvZV06yIsW,159627,4,0.449,0.704,9,-7.452,1,0.0433,0.752,0.775,0.242,0.798,141.258,audio_features
03By6gD02qhtvIQiK8KidK,spotify:track:03By6gD02qhtvIQiK8KidK,https://api.spotify.com/v1/tracks/03By6gD02qhtvIQiK8KidK,https://api.spotify.com/v1/audio-analysis/03By6gD02qhtvIQiK8KidK,212427,4,0.476,0.612,9,-7.01,1,0.0335,0.287,0.000252,0.0877,0.909,177.233,audio_features
03C8ZdXrcEcAJOooOagPNy,spotify:track:03C8ZdXrcEcAJOooOagPNy,https://api.spotify.com/v1/tracks/03C8ZdXrcEcAJOooOagPNy,https://api.spotify.com/v1/audio-analysis/03C8ZdXrcEcAJOooOagPNy,173080,4,0.655,0.371,7,-19.162,1,0.0282,0.82,0.895,0.0802,0.369,112.717,audio_features
03C9U3u138C1NEd4K2NFWA,spotify:track:03C9U3u138C1NEd4K2NFWA,https://api.spotify.com/v1/tracks/03C9U3u138C1NEd4K2NFWA,https://api.spotify.com/v1/audio-analysis/03C9U3u138C1NEd4K2NFWA,317507,4,0.762,0.877,7,-7.806,1,0.174,0.0955,0.000172,0.611,0.222,134.938,audio_features
03h0xXtdHey0y1oijFxyz7,spotify:track:03h0xXtdHey0y1oijFxyz7,https://api.spotify.com/v1/tracks/03h0xXtdHey0y1oijFxyz7,https://api.spotify.com/v1/audio-analysis/03h0xXtdHey0y1oijFxyz7,198560,4,0.531,0.671,9,-11.758,1,0.0447,0.376,0.0,0.114,0.93,98.054,audio_features
03ktkinP5LUlL28YDK92rh,spotify:track:03ktkinP5LUlL28YDK92rh,https://api.spotify.com/v1/tracks/03ktkinP5LUlL28YDK92rh,https://api.spotify.com/v1/audio-analysis/03ktkinP5LUlL28YDK92rh,171040,5,0.335,0.936,11,-6.682,1,0.0479,0.00367,0.00464,0.314,0.702,113.375,audio_features
03LGpDYgqaaj2TuX5Sj7CS,spotify:track:03LGpDYgqaaj2TuX5Sj7CS,https://api.spotify.com/v1/tracks/03LGpDYgqaaj2TuX5Sj7CS,https://api.spotify.com/v1/audio-analysis/03LGpDYgqaaj2TuX5Sj7CS,282533,4,0.552,0.881,0,-4.52,0,0.101,0.104,5e-06,0.0971,0.524,142.558,audio_features
